# emapper version: emapper-1.0.3 emapper DB: 4.5.1
# command: ./emapper.py  -i ../Mcavernosa.proteins.fasta --output Mcavernosa_euk -d euk --usemem --cpu 60
# time: Tue Jul 10 03:58:24 2018
#query_name	COG cat	eggNOG annot
Mcavernosa04301	K	Component of the Mediator complex, a coactivator involved in the regulated transcription of nearly all RNA polymerase II-dependent genes. Mediator functions as a bridge to convey information from gene-specific regulatory proteins to the basal RNA polymerase II transcription machinery. Mediator is recruited to promoters by direct interactions with regulatory proteins and serves as a scaffold for the assembly of a functional preinitiation complex with RNA polymerase II and the general transcription factors
Mcavernosa04310	P	potassium voltage-gated channel, KQT-like subfamily, member
Mcavernosa04305	O	t-complex protein 1 subunit
Mcavernosa04308	O	t-complex protein 1 subunit
Mcavernosa04314	T	tribbles homolog
Mcavernosa04315	T	ankyrin repeat and PH
Mcavernosa04316	T	transporter
Mcavernosa04317	I	Platelet-activating factor acetylhydrolase
Mcavernosa04318	T	transporter
Mcavernosa04322	S	NA
Mcavernosa04323	T	PAS domain containing serine threonine kinase
Mcavernosa04325	L	N-6 adenine-specific DNA methyltransferase 1
Mcavernosa04324	S	Poly(ADP-ribose) polymerase catalytic domain
Mcavernosa04321	O	Programmed cell death
Mcavernosa04327	L	MutS homolog 6 (E. coli)
Mcavernosa04320	O	Programmed cell death
Mcavernosa04331	T	Fibroblast growth factor receptor
Mcavernosa04330	G, O, U	Transmembrane protein 241
Mcavernosa04339	W	Collagen triple helix repeat (20 copies)
Mcavernosa04342	T	PTK7 protein tyrosine kinase 7
Mcavernosa04337	W	collagen, type XII, alpha 1
Mcavernosa04348	T	PTK7 protein tyrosine kinase 7
Mcavernosa04347	W	collagen, type IV, alpha 3 (Goodpasture antigen)
Mcavernosa04343	T	PTK7 protein tyrosine kinase 7
Mcavernosa04354	W	COLFI
Mcavernosa04358	W	Collagen, type IX, alpha 2
Mcavernosa04350	W	collagen, type XII, alpha 1
Mcavernosa04351	W	Collagen triple helix repeat (20 copies)
Mcavernosa04355	W	collagen, type VI, alpha 6
Mcavernosa04357	W	Collagen triple helix repeat (20 copies)
Mcavernosa04353	W	COLFI
Mcavernosa04359	W	COLFI
Mcavernosa04371	W	COLFI
Mcavernosa04369	W	C1q and tumor necrosis factor related protein
Mcavernosa04365	W	Collagen triple helix repeat (20 copies)
Mcavernosa04368	C	UnCoupling Protein
Mcavernosa04362	W	collagen, type XII, alpha 1
Mcavernosa04366	K	NGFI-A binding protein 1 (EGR1 binding protein 1)
Mcavernosa04364	W	collagen, type IV, alpha
Mcavernosa04367	C	Solute carrier family 25 (Mitochondrial thiamine pyrophosphate carrier), member 19
Mcavernosa04375	T	von Willebrand factor type A domain
Mcavernosa04376	T	von Willebrand factor type A domain
Mcavernosa04373	W	collagen, type XII, alpha 1
Mcavernosa04372	W	Collagen, type IX, alpha 2
Mcavernosa04374	W	collagen, type XII, alpha 1
Mcavernosa04385	U	Chondroitin polymerizing factor
Mcavernosa04387	P, T	Calcium channel, voltage-dependent, alpha 2 delta subunit
Mcavernosa04380	W	collagen, type VIII, alpha
Mcavernosa04384	W	collagen, type
Mcavernosa04397	S	LRR
Mcavernosa04394	O	epoxide hydrolase
Mcavernosa04398	S	Coiled-coil domain containing 6
Mcavernosa04392	C	Solute carrier family 25
Mcavernosa04395	S	Coiled-coil domain containing 6
Mcavernosa04402	G	Sulfatase
Mcavernosa04401	Q	IdgA domain protein
Mcavernosa04399	S	chromosome 1 open reading frame 173
Mcavernosa04400	J	60S acidic ribosomal protein
Mcavernosa04408	O	PPIases accelerate the folding of proteins
Mcavernosa04409	K	PR domain containing 14
Mcavernosa04407	O	PPIases accelerate the folding of proteins
Mcavernosa04403	W	Kallmann syndrome 1 sequence
Mcavernosa04405	O	ADAM metallopeptidase domain
Mcavernosa04412	U	guanine nucleotide exchange factor
Mcavernosa04418	T	Notch ligand involved in the mediation of Notch signaling (By similarity)
Mcavernosa04420	T	Notch ligand involved in the mediation of Notch signaling (By similarity)
Mcavernosa04415	T	Notch ligand involved in the mediation of Notch signaling (By similarity)
Mcavernosa04413	T	EGF-like domain
Mcavernosa04410	K	Serrate RNA effector molecule homolog
Mcavernosa04428	O	meprin A, beta
Mcavernosa04429	O	to astacin family metalloendopeptidase FARM-1 Hydra magnipapillata 
Mcavernosa04424	T	Notch ligand involved in the mediation of Notch signaling (By similarity)
Mcavernosa04423	T	Notch ligand involved in the mediation of Notch signaling (By similarity)
Mcavernosa04421	T	Notch ligand involved in the mediation of Notch signaling (By similarity)
Mcavernosa04425	T	Notch ligand involved in the mediation of Notch signaling (By similarity)
Mcavernosa04431	O	MAM domain containing 4
Mcavernosa04430	O	to astacin family metalloendopeptidase FARM-1 Hydra magnipapillata 
Mcavernosa04436	T	phospholipase B domain containing
Mcavernosa04434	T	homolog (mouse)
Mcavernosa04433	O	astacin-like metalloendopeptidase (M12 family)
Mcavernosa04438	K	to reverse transcriptase
Mcavernosa04437	T	Oxysterol-binding protein
Mcavernosa04441	K	ATPase inhibitory factor 1
Mcavernosa04445	T	Growth differentiation factor 7
Mcavernosa04439	T	Oxysterol-binding protein
Mcavernosa04442	S	Amnionless homolog (Mouse)
Mcavernosa04456	O	Peptidyl-prolyl cis-trans isomerase
Mcavernosa04448	U	member RAS oncogene
Mcavernosa04453	P	Copper chaperone for superoxide dismutase
Mcavernosa04454	B, K	Sirtuin 6
Mcavernosa04455	A	u11 U12 small nuclear ribonucleoprotein 25 kDa
Mcavernosa04449	O	Protein disulfide isomerase
Mcavernosa04472	O	Heparan sulfate 2-o-sulfotransferase
Mcavernosa04467	P	solute carrier family 10 (sodium bile acid cotransporter family), member 7
Mcavernosa04470	E	Glutaminase
Mcavernosa04469	S	Zwilch, kinetochore associated, homolog (Drosophila)
Mcavernosa04464	P	solute carrier family 10 (sodium bile acid cotransporter family), member 7
Mcavernosa04457	I	diacylglycerol kinase
Mcavernosa04473	Q	Short chain dehydrogenase reductase family 16C, member 5
Mcavernosa04461	I	diacylglycerol kinase
Mcavernosa04471	J	Mitochondrial ribosomal protein S28
Mcavernosa04462	A	RNA guanylyltransferase and 5'-phosphatase
Mcavernosa04465	U	transmembrane 9 superfamily member
Mcavernosa04479	T	Exostoses (Multiple)-like 3
Mcavernosa04475	S	NA
Mcavernosa04480	S	Zinc finger protein 704
Mcavernosa04474	S	NA
Mcavernosa04482	T	leucine rich repeat containing
Mcavernosa04477	T	Exostoses (Multiple)-like 3
Mcavernosa04481	I	phosphatidate phosphatase
Mcavernosa04478	T	Exostoses (Multiple)-like 3
Mcavernosa04490	S	NA
Mcavernosa04491	T	Mitogen-activated protein kinase
Mcavernosa04485	O	Chromosome
Mcavernosa04483	T	PDZ domain (Also known as DHR or GLGF)
Mcavernosa04488	O	HECTc
Mcavernosa04497	P	solute carrier family 17
Mcavernosa04499	T	Ligand for members of the frizzled family of seven transmembrane receptors (By similarity)
Mcavernosa04496	T	Ligand for members of the frizzled family of seven transmembrane receptors (By similarity)
Mcavernosa04495	O	thioredoxin reductase
Mcavernosa04498	P	solute carrier family 17
Mcavernosa04492	T	Anthrax toxin receptor
Mcavernosa04501	Z	Filamin C, gamma
Mcavernosa04504	T	dual-specificity tyrosine-(Y)-phosphorylation regulated kinase
Mcavernosa04515	S	Neuronal pentraxin
Mcavernosa04511	O	Lysosomal Pro-X
Mcavernosa04512	S	tetratricopeptide repeat domain 29
Mcavernosa04523	A	Regulatory subunit of the poly(A)-nuclease (PAN) deadenylation complex involved in cytoplasmic mRNA turnover. PAN specifically shortens poly(A) tails of RNA when the poly(A) stretch is bound by polyadenylate-binding protein pab1. Deadenylation of the 3'-tail to a length that is too short to bind pab1 induces mRNA decay. May also be involved in post- transcriptional maturation of mRNA poly(A) tails. pan3 acts as a positive regulator for PAN activity, recruiting pan2 to mRNA via its interaction with pab1 (By similarity)
Mcavernosa04519	P	Copper-transporting ATPase
Mcavernosa04518	J	Sequestosome 1
Mcavernosa04516	T	down syndrome cell adhesion molecule
Mcavernosa04517	K	transcription factor
Mcavernosa04531	S	NA
Mcavernosa04527	F	Ankyrin repeat-containing protein
Mcavernosa04526	S	Transmembrane protein 175
Mcavernosa04524	S	Transmembrane protein 175
Mcavernosa04525	S	Transmembrane protein 175
Mcavernosa04541	A	oxygenase
Mcavernosa04542	Q	ABC transporter transmembrane region
Mcavernosa04545	I	Steroid-5-alpha-reductase, alpha polypeptide 1 (3-oxo-5 alpha-steroid delta 4-dehydrogenase alpha 1)
Mcavernosa04544	U	Lysosomal protein transmembrane 4 alpha
Mcavernosa04543	S	Acetyltransferase (GNAT) family
Mcavernosa04548	L	Replication protein A1, 70kDa
Mcavernosa04547	T	phosphatase and actin regulator
Mcavernosa04549	S	NA
Mcavernosa04551	T	suppressor of cytokine signaling
Mcavernosa04556	T	signal peptide
Mcavernosa04552	I	integrin alpha FG-GAP repeat containing 1
Mcavernosa04550	O	ubiquinone biosynthesis protein Coq9
Mcavernosa04557	A	U6 snRNA-associated Sm-like protein
Mcavernosa04559	J	Cytoplasmic polyadenylation element binding protein
Mcavernosa04560	G	methyltransferase
Mcavernosa04561	U	lectin, mannose-binding 1
Mcavernosa04558	J	methionyl-tRNA formyltransferase
Mcavernosa04563	S	tetratricopeptide repeat domain
Mcavernosa04565	O	Meprin A
Mcavernosa04562	T	rhophilin associated tail protein
Mcavernosa04569	S	TELO2 interacting protein 2
Mcavernosa04574	E, O	aminopeptidase
Mcavernosa04572	E, O	aminopeptidase
Mcavernosa04579	A	rna polymerase
Mcavernosa04576	E, O	aminopeptidase
Mcavernosa04575	E, O	aminopeptidase
Mcavernosa04570	E	Tryp_SPc
Mcavernosa04571	E	Tryp_SPc
Mcavernosa04587	S	POC5 centriolar protein homolog (Chlamydomonas)
Mcavernosa04591	S	POC5 centriolar protein homolog (Chlamydomonas)
Mcavernosa04589	S	POC5 centriolar protein homolog (Chlamydomonas)
Mcavernosa04580	E, O	aminopeptidase
Mcavernosa04608	G	chromosome 9 open reading frame 41
Mcavernosa04604	S	Inherit from KOG: Retrotransposon protein
Mcavernosa04593	S	POC5 centriolar protein homolog (Chlamydomonas)
Mcavernosa04595	S	POC5 centriolar protein homolog (Chlamydomonas)
Mcavernosa04602	S	Lipoxygenase
Mcavernosa04607	L	Inherit from opiNOG: to reverse transcriptase
Mcavernosa04609	S	kiaa1328
Mcavernosa04618	S	NA
Mcavernosa04617	B, D	pogo transposable element with KRAB domain
Mcavernosa04625	E, P, T	piggyBac transposable element derived 4
Mcavernosa04633	P	ATPase, class V, type
Mcavernosa04634	P	ATPase, class V, type
Mcavernosa04635	P	ATPase, class V, type
Mcavernosa04631	Q	2-OG-Fe(II) oxygenase
Mcavernosa04629	Q	ATP-binding cassette, sub-family C (CFTR MRP), member
Mcavernosa04632	Q	ATP-binding cassette, sub-family C (CFTR MRP), member
Mcavernosa04626	Q	ATP-binding cassette, sub-family C (CFTR MRP), member
Mcavernosa04644	K	Paired box
Mcavernosa04639	S	round spermatid basic protein
Mcavernosa04649	T	receptor
Mcavernosa04636	T	dedicator of cyto-kinesis
Mcavernosa04642	O	astacin-like metalloendopeptidase (M12 family)
Mcavernosa04646	S	NA
Mcavernosa04652	K	LIM domain only
Mcavernosa04654	K	LIM domain only
Mcavernosa04656	A	membrane-associated ring finger (C3HC4)
Mcavernosa04658	O	astacin-like metalloendopeptidase (M12 family)
Mcavernosa04661	I	Transhydrogenase
Mcavernosa04659	C	NAD(P) transhydrogenase beta subunit
Mcavernosa04660	I	Transhydrogenase
Mcavernosa04672	T	src kinase associated phosphoprotein 2
Mcavernosa04671	L	Dom-3 homolog Z (C. elegans)
Mcavernosa04675	S	NA
Mcavernosa04673	C	Pentatricopeptide repeat-containing protein
Mcavernosa04674	O	Protease, serine
Mcavernosa04686	Z	supervillin
Mcavernosa04683	A	leucine-rich pentatricopeptide repeat containing
Mcavernosa04691	G, M	NmrA-like family domain containing 1
Mcavernosa04693	G, M	NmrA-like family domain containing 1
Mcavernosa04687	Z	supervillin
Mcavernosa04690	L	UbiA prenyltransferase domain containing 1
Mcavernosa04688	O	Proteasome (Prosome, macropain) 26S subunit, non-ATPase, 10
Mcavernosa04692	L	UbiA prenyltransferase domain containing 1
Mcavernosa04695	T	Protein tyrosine phosphatase, receptor type, f polypeptide (PTPRF), interacting protein (Liprin), alpha
Mcavernosa04698	T	GTPase activating protein
Mcavernosa04697	B	Inhibitor of growth family member
Mcavernosa04696	S	NA
Mcavernosa04694	T	Sema domain, seven thrombospondin repeats (Type 1 and type 1-like), transmembrane domain (TM) and short cytoplasmic domain, (Semaphorin)
Mcavernosa04715	H	Polyamine oxidase
Mcavernosa04710	S	primary cilia formation
Mcavernosa04704	Y	Nucleoporin 43kDa
Mcavernosa04712	O	cullin 5
Mcavernosa04708	O	NADH dehydrogenase (ubiquinone) complex I, assembly factor 4
Mcavernosa04703	O	N-6 adenine-specific DNA methyltransferase 2
Mcavernosa04707	S	KIAA0895-like
Mcavernosa04709	T	LATS, large tumor suppressor, homolog
Mcavernosa04702	S	KIAA0895-like
Mcavernosa04706	O	N-6 adenine-specific DNA methyltransferase 2
Mcavernosa04718	O, T	protein phosphatase 1, regulatory subunit
Mcavernosa04719	P	Stores iron in a soluble, non-toxic, readily available form. Important for iron homeostasis (By similarity)
Mcavernosa04736	T	nudC domain containing
Mcavernosa04721	O	listerin E3 ubiquitin protein ligase 1
Mcavernosa04728	K	Kruppel-like protein 1
Mcavernosa04726	U	Signal-recognition-particle assembly has a crucial role in targeting secretory proteins to the rough endoplasmic reticulum membrane (By similarity)
Mcavernosa04733	O	Protein disulfide isomerase
Mcavernosa04730	W	collagen, type XII, alpha 1
Mcavernosa04731	S	Putative cyclase
Mcavernosa04738	B, K	Sirtuin 6
Mcavernosa04741	K	RNA polymerase I subunit
Mcavernosa04737	P	Ion channel
Mcavernosa04740	S	chromosome 16 open reading frame
Mcavernosa04745	T	HYR domain
Mcavernosa04742	T, U	unc-13 homolog D (C. elegans)
Mcavernosa04747	T	HYR domain
Mcavernosa04746	T	HYR domain
Mcavernosa04770	S	NA
Mcavernosa04748	T	Pentaxin family
Mcavernosa04749	L	PIKK family atypical protein kinase
Mcavernosa04768	S	NA
Mcavernosa04750	L	PIKK family atypical protein kinase
Mcavernosa04757	L	NA
Mcavernosa04759	L	NA
Mcavernosa04771	S	Endonuclease/Exonuclease/phosphatase family
Mcavernosa04781	S	NA
Mcavernosa04775	S	Pao retrotransposon peptidase 
Mcavernosa04777	G	Inherit from euNOG: solute carrier family 17
Mcavernosa04776	S	Pao retrotransposon peptidase 
Mcavernosa04783	S	NA
Mcavernosa04785	Q	KR domain
Mcavernosa04787	T	failed axon connections homolog (Drosophila)
Mcavernosa04790	T	failed axon connections homolog (Drosophila)
Mcavernosa04789	T	failed axon connections homolog (Drosophila)
Mcavernosa04791	T	failed axon connections homolog (Drosophila)
Mcavernosa04793	J	tRNA methyltransferase 11 homolog (S. cerevisiae)
Mcavernosa04797	H	Glutamate--cysteine ligase
Mcavernosa04794	J	tRNA methyltransferase 11 homolog (S. cerevisiae)
Mcavernosa04798	H	Glutamate--cysteine ligase
Mcavernosa04802	S	N-acetyltransferase
Mcavernosa04800	S	N-acetyltransferase
Mcavernosa04799	H	Glutamate--cysteine ligase
Mcavernosa04810	T	Cyclin-dependent kinase-like
Mcavernosa04806	E	Solute carrier family 32 (GABA vesicular transporter), member 1
Mcavernosa04807	S	sh2 domain containing
Mcavernosa04811	T	rho GTPase activating protein
Mcavernosa04809	U	Transmembrane protein 87A
Mcavernosa04816	Z	actin-depolymerizing factor
Mcavernosa04817	Q	ATP-binding cassette, sub-family B (MDR TAP), member 4
Mcavernosa04815	Q	ATP-binding cassette, subfamily B (MDR TAP), member
Mcavernosa04819	S	carboxyl methyltransferase
Mcavernosa04814	Q	ATP-binding cassette, subfamily B (MDR TAP), member
Mcavernosa04840	U, Y	nucleoporin
Mcavernosa04832	K	RNA polymerase II, TATA box binding protein (TBP)-associated factor
Mcavernosa04833	T, Z	LIM domain and actin binding 1
Mcavernosa04838	F	thiamin pyrophosphokinase-related protein
Mcavernosa04823	T	Calcium-binding EGF domain
Mcavernosa04822	T	EGF-like domain
Mcavernosa04820	T	FiBrilliN
Mcavernosa04842	T	bone morphogenetic protein
Mcavernosa04834	O	Glutaredoxin
Mcavernosa04829	T	PTPRF interacting protein binding protein
Mcavernosa04837	F	cytidine deaminase
Mcavernosa04836	F	cytidine deaminase
Mcavernosa04845	O, T	OTU domain containing 4
Mcavernosa04843	S	protein Hydra magnipapillata
Mcavernosa04848	U	transmembrane protein 63C
Mcavernosa04846	U	transmembrane protein 63C
Mcavernosa04853	K	Paired box
Mcavernosa04851	U	transmembrane protein 63C
Mcavernosa04852	U	transmembrane protein 63C
Mcavernosa04856	V	FAD-binding and arabino-lactone oxidase domains containing protein
Mcavernosa04854	O	MAM domain containing 4
Mcavernosa04858	K	homeobox
Mcavernosa04857	K	Paired box
Mcavernosa04867	S	COMM domain containing 10
Mcavernosa04863	A	ATP-dependent RNA helicase involved in mRNA splicing. May destabilize the U1 5'-splice site duplex to permit an effective competition for the 5'-splice site by the U6 snRNA, resulting in the switch between U1 and U6 at the 5'-splice site. May also act to unwind the U4 U6 base-pairing interaction in the U4 U6 U5 snRNP, facilitating the first covalent step of splicing
Mcavernosa04862	A	DEAD (Asp-Glu-Ala-Asp) box polypeptide
Mcavernosa04869	J	ribosomal protein S15
Mcavernosa04868	A	U3 small nucleolar
Mcavernosa04866	O	Ubiquilin
Mcavernosa04865	O	ubiquilin 3
Mcavernosa04877	T	Ras protein-specific guanine nucleotide-releasing factor
Mcavernosa04878	T	Ras protein-specific guanine nucleotide-releasing factor
Mcavernosa04873	T, U	C2 domain
Mcavernosa04871	A	Rna-binding protein
Mcavernosa04888	S	focadhesin
Mcavernosa04883	S	pygopus homolog 1 (Drosophila)
Mcavernosa04887	S	focadhesin
Mcavernosa04886	S	focadhesin
Mcavernosa04889	S	NA
Mcavernosa04884	S	integrase core domain protein
Mcavernosa04895	O	t-complex protein 1
Mcavernosa04900	W	EGF_Lam
Mcavernosa04906	S	chromosome 6 open reading frame 57
Mcavernosa04898	W	laminin, alpha
Mcavernosa04897	W	LamNT
Mcavernosa04902	W	Laminin, alpha
Mcavernosa04896	S	C2 domain
Mcavernosa04905	S	HAUS augmin-like complex subunit 6
Mcavernosa04914	W	von Willebrand factor type A domain
Mcavernosa04908	O	Thrombospondin type 1 domain
Mcavernosa04926	O	Proprotein convertase P-domain
Mcavernosa04924	F	clathrin assembly protein
Mcavernosa04916	T	von Willebrand factor type A domain
Mcavernosa04917	H	synthase
Mcavernosa04921	E	paraoxonase
Mcavernosa04919	V	Beta-lactamase
Mcavernosa04915	T	Cholinergic receptor, nicotinic, alpha
Mcavernosa04932	S	NmrA-like family
Mcavernosa04927	O	tetratricopeptide repeat domain 28
Mcavernosa04928	G	chitinase
Mcavernosa04929	G	chitinase
Mcavernosa04933	S	NmrA-like family
Mcavernosa04940	T	Serpentine type 7TM GPCR chemoreceptor Srsx
Mcavernosa04934	M	pectinacetylesterase
Mcavernosa04941	S	transmembrane protein 39A
Mcavernosa04938	J	ribosomal protein
Mcavernosa04936	K	cell division cycle 5-like
Mcavernosa04945	U	Charged multivesicular body protein 2B
Mcavernosa04947	S	NA
Mcavernosa04950	O	somatomedin B and thrombospondin, type 1 domain containing
Mcavernosa04955	B, K	Set domain
Mcavernosa04958	G	Citrate lyase beta
Mcavernosa04953	S	kiaa1586
Mcavernosa04952	U	clathrin heavy chain
Mcavernosa04951	H	methylmalonic aciduria (cobalamin deficiency) cblB type
Mcavernosa04954	U	clathrin heavy chain
Mcavernosa04962	A	Ataxin 2-like
Mcavernosa04960	G	Citrate lyase beta
Mcavernosa04961	S	Tumor protein p53 inducible protein 13
Mcavernosa04965	F	)-reductase
Mcavernosa04967	S	NA
Mcavernosa04976	S	piggyBac transposable element derived 4
Mcavernosa04987	S	Protein of unknown function (DUF1399)
Mcavernosa04984	O	urease accessory protein
Mcavernosa04981	K	Zinc finger protein 862
Mcavernosa04978	S	Hydra magnipapillata
Mcavernosa04983	A	Interacts with a second catalytic subunit to form an active queuine tRNA-ribosyltransferase. This enzyme exchanges queuine for the guanine at the wobble position of tRNAs with GU(N) anticodons (tRNA-Asp, -Asn, -His and -Tyr), thereby forming the hypermodified nucleoside queuosine (Q) (7-(((4,5-cis-dihydroxy-2- cyclopenten-1-yl)amino)methyl)-7-deazaguanosine) (By similarity)
Mcavernosa04977	S	NA
Mcavernosa04979	S	NA
Mcavernosa04986	G	Solute carrier family 35, member B3
Mcavernosa04992	S	Responsible for the deiodination of T4 (3,5,3',5'- tetraiodothyronine) (By similarity)
Mcavernosa04989	E	Tryp_SPc
Mcavernosa04993	S	Responsible for the deiodination of T4 (3,5,3',5'- tetraiodothyronine) (By similarity)
Mcavernosa04994	S	Responsible for the deiodination of T4 (3,5,3',5'- tetraiodothyronine) (By similarity)
Mcavernosa04988	O	NEDD8 activating enzyme E1 subunit 1
Mcavernosa05003	D	Septin 6
Mcavernosa04995	T	Melatonin receptor
Mcavernosa05005	U	LPS-responsive vesicle trafficking, beach and anchor containing
Mcavernosa05001	T	Melatonin receptor
Mcavernosa04996	T	Melatonin receptor
Mcavernosa05004	U	LPS-responsive vesicle trafficking, beach and anchor containing
Mcavernosa05002	P	EF-hand domain family, member
Mcavernosa05000	P	EF-hand domain family, member
Mcavernosa05006	D	Septin 6
Mcavernosa05007	U	LPS-responsive vesicle trafficking, beach and anchor containing
Mcavernosa05014	T	serine threonine kinase 16
Mcavernosa05071	S	Protein of unknown function (DUF1757)
Mcavernosa05081	T	kelch-like
Mcavernosa05080	T	kelch-like
Mcavernosa05078	K	Mbt domain containing 1
Mcavernosa05076	T	BACK
Mcavernosa05077	I, U	Myotubularin related protein
Mcavernosa05073	S	von Willebrand factor A domain containing 3B
Mcavernosa05084	K	Transcription initiation factor TFIID
Mcavernosa05082	K	GATA binding protein
Mcavernosa05083	T	Protein tyrosine phosphatase, non-receptor type
Mcavernosa05090	S	NA
Mcavernosa05088	S	MULE transposase domain
Mcavernosa05096	T	FRAS1 related extracellular matrix
Mcavernosa05092	O, T	protein phosphatase 1, regulatory subunit
Mcavernosa05095	K	nuclear factor of activated T-cells 5, tonicity-responsive
Mcavernosa05091	C	solute carrier family 25 (pyrimidine nucleotide carrier
Mcavernosa05093	J	ribosomal protein
Mcavernosa05085	Q	alkB, alkylation repair homolog 8 (E. coli)
Mcavernosa05105	L	PHD finger protein
Mcavernosa05106	E	Sodium/glutamate symporter
Mcavernosa05108	M, W	Carbohydrate
Mcavernosa05098	S	NA
Mcavernosa05099	S	NA
Mcavernosa05101	S	NA
Mcavernosa05118	C	solute carrier family 25 (pyrimidine nucleotide carrier
Mcavernosa05112	I	epoxide hydrolase
Mcavernosa05114	U	Stromal interaction molecule
Mcavernosa05110	Q	amine oxidase
Mcavernosa05117	T, U	RAB escort protein
Mcavernosa05109	P	Heavy metal-associated domain containing protein
Mcavernosa05115	U	Stromal interaction molecule
Mcavernosa05113	K	Steroid receptor RNA activator
Mcavernosa05116	I	epoxide hydrolase
Mcavernosa05111	G	N-acylsphingosine amidohydrolase (acid ceramidase) 1
Mcavernosa05125	U, Y	Nucleoporin autopeptidase
Mcavernosa05122	U, Y	Nucleoporin autopeptidase
Mcavernosa05127	O	proline and serine rich 1
Mcavernosa05124	U, Y	Nucleoporin autopeptidase
Mcavernosa05126	O	proline and serine rich 1
Mcavernosa05134	F	ELMO CED-12 domain containing
Mcavernosa05143	S	PIH1 domain containing 3
Mcavernosa05136	C	Solute carrier family 25
Mcavernosa05135	C	dihydrolipoamide dehydrogenase
Mcavernosa05142	O	tripartite motif containing 71, E3 ubiquitin protein ligase
Mcavernosa05139	Q	o-methyltransferase
Mcavernosa05148	O	tetratricopeptide repeat domain
Mcavernosa05145	S	Tetratricopeptide repeat and ankyrin repeat containing 1
Mcavernosa05150	S	Tetratricopeptide repeat and ankyrin repeat containing 1
Mcavernosa05146	S	Tetratricopeptide repeat and ankyrin repeat containing 1
Mcavernosa05152	E	Solute carrier family 7 (cationic amino acid transporter, y system), member
Mcavernosa05153	E	Solute carrier family 7 (cationic amino acid transporter, y system), member
Mcavernosa05154	E	Solute carrier family 7 (cationic amino acid transporter, y system), member
Mcavernosa05151	E	Solute carrier family 7 (cationic amino acid transporter, y system), member
Mcavernosa05155	E	Solute carrier family 7 (cationic amino acid transporter, y system), member
Mcavernosa05156	E	solute carrier family 7 (orphan transporter), member
Mcavernosa05158	U	Vacuolar protein sorting 13 homolog D (S. cerevisiae)
Mcavernosa05160	U	Vacuolar protein sorting 13 homolog D (S. cerevisiae)
Mcavernosa05163	U	Vacuolar protein sorting 13 homolog D (S. cerevisiae)
Mcavernosa05159	U	Vacuolar protein sorting 13 homolog D (S. cerevisiae)
Mcavernosa05157	Q	Dehydrogenase
Mcavernosa05169	P	von Willebrand factor A domain containing 7
Mcavernosa05167	E	methyltransferase like 13
Mcavernosa05172	P	von Willebrand factor A domain containing 7
Mcavernosa05168	S	chromosome 14 open reading frame 166B
Mcavernosa05165	K	Lysophosphatidylcholine acyltransferase 3
Mcavernosa05177	P	solute carrier family 33 (acetyl-CoA transporter), member 1
